state,parent_state,to_move,layer,P(X wins),P(X wins) difference,P(O wins),P(O wins) difference,P(draws),P(draws) difference
OX.O.XO.X,OX.O.X..X,X,6,0.0,-0.4166666667,1.0,0.5833333332999999,0.0,-0.1666666667
OX.O.XXOX,OX.O.X.OX,O,7,0.5,0.0,0.0,-0.1666666667,0.5,0.16666666670000002
OX.O.X.OX,OX.O.X..X,X,6,0.5,0.08333333329999998,0.1666666667,-0.25,0.3333333333,0.16666666659999999
OX.O.X..X,OX.O....X,O,5,0.4166666667,-0.08333333329999998,0.4166666667,0.0166666667,0.1666666667,0.06666666669999999
OX.OO.XXX,OX.OO.X.X,O,7,1.0,0.16666666669999997,0.0,-0.1666666667,0.0,0.0
OX.OO.X.X,OX.O..X.X,X,6,0.8333333333,0.08333333330000003,0.1666666667,0.08333333339999999,0.0,-0.1666666667
OX.O.OXXX,OX.O.OX.X,O,7,1.0,0.16666666669999997,0.0,-0.1666666667,0.0,0.0
OX.O.OX.X,OX.O..X.X,X,6,0.8333333333,0.08333333330000003,0.1666666667,0.08333333339999999,0.0,-0.1666666667
OX.O..XOX,OX.O..X.X,X,6,0.6666666667,-0.08333333330000003,0.0,-0.0833333333,0.3333333333,0.16666666659999999
OX.O..X.X,OX.O....X,O,5,0.75,0.25,0.0833333333,-0.3166666667,0.1666666667,0.06666666669999999
OX.OO..XX,OX.O...XX,X,6,0.5,0.0,0.5,0.0,0.0,0.0
OX.O.O.XX,OX.O...XX,X,6,0.6666666667,0.16666666669999997,0.3333333333,-0.16666666670000002,0.0,0.0
OX.O..OXX,OX.O...XX,X,6,0.0,-0.5,1.0,0.5,0.0,0.0
OX.O...XX,OX.O....X,O,5,0.5,0.0,0.5,0.09999999999999998,0.0,-0.1
OX.O....X,OX......X,X,4,0.5,0.038888888899999974,0.4,0.1611111111,0.1,-0.19999999999999998
OXXXOOOXX,OXXXOOO.X,O,9,0.0,0.0,0.0,0.0,1.0,0.0
OXXXOOO.X,OXXXOO..X,X,8,0.0,0.0,0.0,0.0,1.0,0.0
OXXXOOXOX,OXXXOO.OX,O,9,0.0,0.0,0.0,0.0,1.0,0.0
OXXXOO.OX,OXXXOO..X,X,8,0.0,0.0,0.0,0.0,1.0,0.0
OXXXOO..X,OXX.OO..X,O,7,0.0,0.0,0.0,-0.3333333333,1.0,0.33333333330000003
OXX.OOXOX,OXX.OOX.X,X,8,0.0,0.0,0.0,-0.5,1.0,0.5
OXX.OOX.X,OXX.OO..X,O,7,0.0,0.0,0.5,0.16666666670000002,0.5,-0.16666666669999997
OXX.OOOXX,OXX.OO.XX,X,8,0.0,0.0,0.0,-0.5,1.0,0.5
OXX.OO.XX,OXX.OO..X,O,7,0.0,0.0,0.5,0.16666666670000002,0.5,-0.16666666669999997
OXX.OO..X,OXX.O...X,X,6,0.0,-0.4166666667,0.3333333333,0.08333333329999998,0.6666666667,0.3333333334
OXXXOXOOX,OXXXO.OOX,O,9,1.0,0.0,0.0,0.0,0.0,0.0
OXXXO.OOX,OXXXO.O.X,X,8,1.0,0.5,0.0,0.0,0.0,-0.5
OXXXO.O.X,OXX.O.O.X,O,7,0.5,0.0,0.0,-0.1666666667,0.5,0.16666666670000002
